[DM_REFINEMENT]
eventname,dm_stored,dm_refined,dm_refined_offset,dm_error,best_snr
FRB20180725A,715.8092661658914,715.5365275801084,-0.2727385857829124,0.026752446022062573,317.5188441647721
FRB20180727A,642.133745162,642.258588018624,0.12484285662405716,0.06828418765203113,151.46723291277885
FRB20180729A,109.5941811083,109.58362965012681,-0.010551458173198707,0.0064124143377632566,1294.7659748792648
FRB20180729B,317.2235063959,317.14133946252673,-0.08216693337328942,0.02720301282652126,208.297356912845
FRB20180730A,848.9040870559201,848.6940375643538,-0.21004949156621647,0.02531901649667338,1042.3379735432402
FRB20180801A,655.7280206643509,655.0284629032806,-0.6995577610703436,0.04478115450585118,361.59483465605024
FRB20180806A,739.9482402165545,739.9445442901115,-0.0036959264430457776,0.019525122896791054,208.39678592783494
FRB20180810A,414.8803610808915,414.8702787621828,-0.010082318708669357,0.016231562088097513,189.12949995382934
FRB20180810B,169.1385258747251,169.13583260075367,-0.00269327397144212,0.010254264585752135,606.5651933550835
FRB20180812A,802.4505816799108,802.3897728371787,-0.060808842732012994,0.06117151173163954,180.49130547243217
FRB20180814A,189.28554574854664,187.69655174988014,-1.588993998666483,0.034623563227437454,157.3966956573434
FRB20180814B,238.3473592596818,238.35718887812635,0.009829618444550117,0.025854654302993333,279.1211731367571
FRB20180817A,1006.7713807370133,1006.7502095412146,-0.021171195798583363,0.04326134435248728,762.6695527413534
FRB20180904A,361.1374145311981,361.1628974115054,0.02548288030730229,0.012710862568342645,565.4991836547852
FRB20180906A,383.4563747397,383.5143222729515,0.05794753325154903,0.02840517286576931,131.45895898375665
FRB20180906B,3038.0577408936,3037.855169800423,-0.202571093177129,0.04784000273161299,122.85176991539528
FRB20180907A,877.2401882476,877.1829472426414,-0.05724100495864614,0.03981506329172265,194.19222480607868
FRB20180907B,658.18985425,658.078735356816,-0.11111889318414106,0.02908414169633622,195.42634950395313
FRB20180907C,638.1999453551,638.1506015260106,-0.049343829089353954,0.024081819406035522,170.61014243365653
FRB20180907D,1447.0983009678375,1447.2953789654164,0.19707799757881572,0.07755099648079095,168.2418805713884
FRB20180907E,383.3593767953455,383.2956547263489,-0.06372206899660457,0.06507249853123677,164.67123803355875
FRB20180908B,195.2392539984,195.04252304472627,-0.19673095367371587,0.035522876601778726,220.43855959409393
FRB20180909A,408.6471511397,408.5971511397,-0.0499999999999957,0.1556550838338072,93.65830104966922
FRB20180910A,684.4080793642,684.3977355904527,-0.010343773747355107,0.008437697222417148,573.4602146148682
FRB20180911A,221.25376676180443,221.25231003474264,-0.0014567270618064385,0.03088033805785633,152.54514728347144
FRB20180911C,189.84477016944362,190.59991356640535,0.7551433969617255,0.04377306395583765,190.18521514124046
FRB20180915A,371.0292837075,371.214571717586,0.18528801008599827,0.03063422928650048,185.99225971102715
FRB20180915B,177.12696532087244,176.52357159540716,-0.6033937254652734,0.05839217848057769,197.46154261489605
FRB20180916A,296.0275225528687,296.0091280986324,-0.01839445423625758,0.012443319681579372,321.4101960659027
FRB20180916B,349.3490751229,349.2653588027666,-0.08371632013336272,0.04037818028504311,292.24125265810636
FRB20180916C,2252.8734897282343,2252.586129156487,-0.287360571747096,0.09519785496004289,114.84371750029578
FRB20180917A,189.91674001310517,186.30071301430345,-3.6160269988017246,0.08756600527398245,275.5885363018935
FRB20180917B,857.03764224,857.0619258642404,0.024283624240449407,0.06265323728318496,179.2416391421853
FRB20180918A,1453.9881540884,1453.8650686543333,-0.12308543406669306,0.027986200206264612,260.06790247560696
FRB20180919A,188.8493795696431,188.51017960709095,-0.339199962552148,0.058830948748118624,83.47193346844422
FRB20180919B,560.2213618279953,560.2231892369739,0.0018274089785688507,0.01531199815907387,175.7643912434578
FRB20180920A,555.6638786846831,555.0721142692984,-0.5917644153847601,0.06535473049952666,211.32285262379986
FRB20180920B,463.3962383232925,464.8494229832997,1.4531846600072083,0.08282916636669091,71.10787881523595
FRB20180921A,394.37177103700753,394.52525059111866,0.15347955411110212,0.04574187702114284,103.28037261905348
FRB20180922A,555.6872003582085,555.6753335239447,-0.011866834263904655,0.04723963297235917,252.34687043103014
FRB20180923A,219.4397225849,219.04044107308383,-0.3992815118161746,0.02127287721746733,146.0944732427597
FRB20180923C,173.9838671475771,174.16410624159028,0.18023909401319366,0.02571954750518672,168.82497671371584
FRB20180923D,329.3996103290216,329.3717002509988,-0.027910078022765638,0.02086634782365199,491.22515285015106
FRB20180924A,1116.5456296847,1116.5891077418883,0.043478057188223736,0.03429952254977491,218.99411837032113
FRB20180925A,237.7419750196,238.23957188090418,0.49759686130416875,0.0786011881251853,149.39084296218522
FRB20180925B,667.8661378119426,667.2136865163873,-0.652451295555335,0.03868806091989267,101.09191979056233
FRB20180928A,252.76811475898828,253.04960104502595,0.2814862860376859,0.03344946364864861,315.30131233351835
FRB20181012B,715.1894972938567,715.627960717217,0.43846342336033706,0.03739694810501755,117.16769591408067
FRB20181013A,309.3054755427,309.2795776640202,-0.025897878679750293,0.01225477273481561,348.16572934389114
FRB20181013B,277.5066286453859,276.2961953187607,-1.2104333266252265,0.08040241385588458,306.90364054729264
FRB20181013C,1005.7658392026592,1005.7021552640018,-0.06368393865733962,0.06803084643363912,131.6495376012554
FRB20181013E,345.29698968584813,345.1984777389965,-0.09851194685163579,0.05778436050541208,104.43670036468085
FRB20181014A,1314.8895945082,1314.9046315563176,0.015037048117543418,0.029219312674775007,152.77004955142934
FRB20181014B,887.9719509629,887.9531845615611,-0.018766401338924175,0.025152555307718427,283.37294067015824
FRB20181014C,752.1671098876448,751.7049081646965,-0.4622017229482715,0.0399331921240081,126.01441792286096
FRB20181014D,377.1324091829,377.1488689109162,0.016459728016145384,0.029336900989662382,185.9859428658159
FRB20181015A,568.823051053,568.79382327176,-0.029227781240002085,0.028761580763521945,150.76164986459855
FRB20181017A,1281.8751477344626,1282.02917620891,0.1540284744473061,0.06363424839080359,257.9434472920701
FRB20181017B,307.3688603926875,307.0813457733008,-0.28751461938671086,0.051032374076652884,172.40314860030773
FRB20181018A,1129.4488439729332,1129.746572852398,0.29772887946475707,0.051219559726491046,178.1952006012374
FRB20181018B,293.8669952572,293.8777355767651,0.010740319565035005,0.01106081551239017,570.7528156042099
FRB20181018C,411.1926894409,411.2041936875094,0.011504246609410611,0.014450638515056744,393.12427151203156
FRB20181019A,348.7780115378241,348.35591285440904,-0.4220986834150889,0.033146423125511346,259.5092865365729
FRB20181019B,725.1841251788,725.1894428662216,0.005317687421624672,0.053022330219195606,126.77294406586816
FRB20181019C,501.63561838281635,501.5985105402069,-0.037107842609410024,0.021935874586224893,178.33268748565274
FRB20181020A,1112.472771987,1112.839983218237,0.3672112312370213,0.06470019845198403,149.91734059299316
FRB20181022C,528.4732616179,528.5132656042302,0.04000398633020359,0.060869276813475336,124.95440790057182
FRB20181022D,514.3342565200554,514.3572846895843,0.02302816952886385,0.016472540913167133,516.5366662522351
FRB20181022E,285.9864861201,285.59272103602166,-0.39376508407833394,0.03087782476108995,172.24576728798664
FRB20181025A,592.564402873,592.5344059833351,-0.029996889664868073,0.020875244272379644,232.2525615670997
FRB20181027A,727.7440088751,727.6721743267773,-0.07183454832272315,0.03615106451221567,187.89309367091653
FRB20181028A,189.10629057984886,186.02824408704296,-3.078046492805885,0.05638565947990143,328.4765148450298
FRB20181030A,103.39602389715887,103.30625725439803,-0.0897666427608411,0.030056419453026898,130.07990811562772
FRB20181030B,103.6425143986,103.32714776362035,-0.3153666349796478,0.04553703013162633,220.20026195049286
FRB20181030C,668.7601291266517,668.7633078617672,0.0031787351154929306,0.026222939256457363,167.035870552063
FRB20181030D,289.4422261393,289.42002652608556,-0.022199613214419534,0.01657463004206081,354.84232875710154
FRB20181030E,159.69023235755768,159.65498843826555,-0.0352439192921295,0.03362716044199858,215.76863849945815
FRB20181101A,1472.6781954797732,1470.152221574112,-2.5259739056611195,0.06602053918010328,279.24175048728176
FRB20181102A,414.4648612752,414.4446824917754,-0.020178783424634094,0.023463320463071542,167.35463351011276
FRB20181104B,350.1385927983,354.3676196763477,4.229026878047698,0.14473953173496604,139.27094401509387
FRB20181104C,580.8176229022267,580.8165197203815,-0.0011031818451935984,0.0073039525830625625,1140.9788591265678
FRB20181115A,981.6132353693225,982.3347367874931,0.7215014181705062,0.03741317292545423,193.1797196620772
FRB20181116A,355.4330480004,355.45378562880774,0.020737628407739895,0.018346239350820175,261.6634778380394
FRB20181116B,409.8763953055,408.4833104958308,-1.3930848096692274,0.03563323062292614,132.2872476298934
FRB20181117A,959.2801077697,959.3324105013571,0.05230273165715355,0.07197526444405258,177.5331244468689
FRB20181117B,538.2000393416592,538.2017429203587,0.0017035786994030388,0.03350161407612787,168.88025333813565
FRB20181117C,1773.738678969441,1773.724576397289,-0.014102572152001502,0.02148786007848089,214.0149594600235
FRB20181118A,557.4067946408481,557.473940938378,0.06714629752984247,0.028321653920457743,175.8358709514141
FRB20181118B,422.2771448614,422.37764009838196,0.10049523698194733,0.042674828882442555,254.56181278824806
FRB20181118C,190.16698187004033,186.1587734252538,-4.008208444786526,0.03870413379666168,139.22401672232832
FRB20181119A,364.09118401515565,367.4459622243135,3.354778209157869,0.06825097321074862,160.94369344567662
FRB20181119B,609.1008005319798,609.2781568719092,0.17735633992941843,0.0374320080020138,1860.7260521509177
FRB20181119C,284.9593605466454,284.9752040509084,0.01584350426296727,0.012703571284673738,375.8847099542618
FRB20181119D,564.366840706485,564.7634840659522,0.3966433594670796,0.06564668307592877,333.1420049468676
FRB20181119E,1169.767740821323,1169.8333170230205,0.06557620169740637,0.037664959643077284,131.19121950130537
FRB20181120B,349.7358648664479,349.7665646856286,0.030699819180696555,0.032614678632736684,224.92194685339928
FRB20181120C,191.70402241486786,192.3994652193189,0.6954428044510298,0.04814493573791129,127.1069901846691
FRB20181122A,662.8206172053,662.8192703558493,-0.0013468494506771735,0.030618151894298413,155.48220815338354
FRB20181122B,225.75546586936844,225.7472479804274,-0.008217888941046482,0.006548913762629085,1230.205745279789
FRB20181123A,798.7184459092,798.6564953223372,-0.06195058686282681,0.02624734137164652,223.20797288421448
FRB20181124A,1108.5324982044806,1108.6794995272478,0.14700132276709837,0.05833164425853035,137.23178488016129
FRB20181124B,801.6445536820023,801.5627805341886,-0.08177314781365141,0.031805001003134256,322.3760514678626
FRB20181125A,272.19,272.9645586851188,0.7745586851187714,0.03438561593898897,273.51055269996033
FRB20181126A,494.2167720930723,494.21362307122405,-0.003149021848243845,0.029973205153584235,753.7778621617128
FRB20181127A,930.3168084664,929.8859927463694,-0.4308157200305255,0.0318471296819642,234.5102243691805
FRB20181128A,450.38226659188246,448.5598437502569,-1.8224228416255466,0.037357072222935786,379.765350679903
FRB20181128B,456.54761785289196,456.35430812265173,-0.19330973024022685,0.06341026139960866,193.78630439948282
FRB20181128C,618.35,618.6419198066133,0.29191980661320865,0.08283351671741546,174.44930564581307
FRB20181128D,146.50121394536345,146.50593888050597,0.004724935142512376,0.017149107652400925,640.1161381749298
FRB20181129A,385.968353088849,385.9565459485066,-0.01180714034247603,0.017537257254923087,436.01495594282994
FRB20181129B,405.90501447521063,406.10517968627954,0.20016521106893162,0.01830730200365948,232.50071952733077
FRB20181129C,502.21580605057034,502.3000734320948,0.08426738152445393,0.04213596864892765,310.73110509241627
FRB20181130A,220.0896252659,219.87111574822234,-0.21850951767765986,0.030954888576796933,257.12018048763275
FRB20181201A,694.3563196029482,694.7083205790015,0.35200097605321606,0.09924939825395304,519.3133350555713
FRB20181201B,876.5767697297,876.6686387137236,0.09186898402353111,0.031544612174525644,233.75927779078484
FRB20181202A,667.9546110237494,667.8729862875482,-0.08162473620123163,0.05062482413193009,468.40104281433014
FRB20181202B,825.8834138830072,825.7062935468208,-0.17712033618630935,0.04543269502080393,230.15064653754234
FRB20181202C,557.160353724607,556.6334476772125,-0.5269060473944523,0.074889324021852,233.85982197731116
FRB20181203A,635.9254919045,635.9022111092888,-0.023280795211159614,0.021244626287117215,266.0656618813109
FRB20181203B,375.38710478399344,375.448079322677,0.06097453868358449,0.028276351018522595,363.63640734553337
FRB20181203C,2444.57,2444.6405295516265,0.07052955162652953,0.03148598466493153,219.12265905178282
FRB20181208A,562.7768090793318,562.754737560322,-0.02207151900975153,0.02613149661049654,377.3638680610043
FRB20181209A,328.6557431856,328.52767404109125,-0.1280691445087344,0.06262670065041957,315.73381435871124
FRB20181213A,678.6715757653,678.6641143695144,-0.007461395785556323,0.03813107527226515,295.41746739727733
FRB20181213B,626.5932020279462,625.5489681658121,-1.0442338621341123,0.09215101881444805,292.57348027931084
FRB20181213C,380.7360437389,380.775943745588,0.03990000668801104,0.03134418541841321,217.30219294147577
FRB20181214A,468.1480443972,468.7345445968318,0.586500199631795,0.019530001996700914,348.4380662324987
FRB20181214B,1120.746074958477,1120.7567374157907,0.010662457313673183,0.03880282876663571,181.87388419701836
FRB20181214C,632.7848947578,632.7561191020302,-0.028775655769788074,0.022323114423174636,534.562635332346
FRB20181214D,1177.3188630475,1177.3615244783452,0.042661430845256566,0.11239806100247074,327.8710840075658
FRB20181214F,2105.7551881286,2105.4656633755276,-0.28952475307223874,0.05098100757116907,169.38193161708625
FRB20181215A,412.6317440556621,412.3412733776155,-0.2904706780466338,0.03695334153930949,143.82118691763287
FRB20181215B,494.01417752561053,493.996204609573,-0.017972916037512734,0.011012418879189342,443.1615828455127
FRB20181216A,542.7376059899244,542.5752863223291,-0.1623196675952866,0.052031425001294276,163.71383734584575
FRB20181217A,1177.1666311047234,1177.1826312282749,0.016000123551463734,0.027221549100479643,218.71991214852935
FRB20181218A,1874.4062871253,1874.7782161084378,0.3719289831378705,0.03774988179348783,164.8301846857591
FRB20181218B,753.4045703193,753.8122518416759,0.4076815223758712,0.030374629011755742,188.03559817215347
FRB20181218C,384.1531823893,384.5087463190672,0.35556392976721274,0.05988497133590693,151.93623311260535
FRB20181219A,451.8062454185,451.93020017357435,0.12395475507437378,0.06267715007476408,209.68166445195675
FRB20181219B,1952.1660072766,1952.2532390286015,0.08723175200132564,0.02566081536480364,337.2623268663883
FRB20181219C,647.8913423126,647.9436986856994,0.05235637309930115,0.0736511480442983,290.6628541316635
FRB20181220A,209.4017250094805,209.31893775662974,-0.08278725285073586,0.02687169365829386,376.4542157747907
FRB20181220B,257.79935597007875,257.8186627493005,0.019306779221726866,0.016828580576553995,287.5188335776329
FRB20181221A,316.23689373333997,316.31157017177605,0.07467643843609503,0.022380879974839687,594.2894708115218
FRB20181221B,1395.020983181,1395.1534202185042,0.13243703750421323,0.030801120050026273,463.1421645915683
FRB20181222A,348.73650910557484,345.23423837450247,-3.5022707310723646,0.04715588631409857,1595.2870857913258
FRB20181222B,619.2478069866371,619.2283286751544,-0.019478311482618898,0.02802371761475891,150.9349467053479
FRB20181222C,1104.8921668360495,1104.8688458896768,-0.023320946372737544,0.0390503499606148,206.39716970039257
FRB20181222D,1417.1106459670957,1417.8335089570069,0.7228629899112196,0.07193064430387945,206.17702251753747
